Q-1,Q,Q+1,Q+2,Q+3,Q+4
2.160142857,4.956571429,3.495714286,4.815428571,3.592714286,3.079
4.956571429,3.495714286,4.815428571,3.592714286,3.079,1.241714286
3.495714286,4.815428571,3.592714286,3.079,1.241714286,0.251
4.815428571,3.592714286,3.079,1.241714286,0.251,0.251
3.592714286,3.079,1.241714286,0.251,0.251,0.251
3.079,1.241714286,0.251,0.251,0.251,0.251
1.241714286,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.251
0.251,0.251,0.251,0.251,0.251,0.182571429
0.251,0.251,0.251,0.251,0.182571429,0.160285714
0.251,0.251,0.251,0.182571429,0.160285714,0.173285714
0.251,0.251,0.182571429,0.160285714,0.173285714,0.232285714
0.251,0.182571429,0.160285714,0.173285714,0.232285714,0.210285714
0.182571429,0.160285714,0.173285714,0.232285714,0.210285714,0.238857143
0.160285714,0.173285714,0.232285714,0.210285714,0.238857143,0.336428571
0.173285714,0.232285714,0.210285714,0.238857143,0.336428571,0.435285714
0.232285714,0.210285714,0.238857143,0.336428571,0.435285714,0.336571429
0.210285714,0.238857143,0.336428571,0.435285714,0.336571429,0.414428571
0.238857143,0.336428571,0.435285714,0.336571429,0.414428571,0.491
0.336428571,0.435285714,0.336571429,0.414428571,0.491,0.459285714
