Q-2,Q-1,Q,Q+1,Q+2
0.489285714,0.549285714,0.612857143,0.585714286,0.972142857
0.549285714,0.612857143,0.585714286,0.972142857,0.657142857
0.612857143,0.585714286,0.972142857,0.657142857,0.762142857
0.585714286,0.972142857,0.657142857,0.762142857,0.91
0.972142857,0.657142857,0.762142857,0.91,0.85
0.657142857,0.762142857,0.91,0.85,2.876428571
0.762142857,0.91,0.85,2.876428571,2.540714286
0.91,0.85,2.876428571,2.540714286,1.497857143
0.85,2.876428571,2.540714286,1.497857143,0.746428571
2.876428571,2.540714286,1.497857143,0.746428571,0.271428571
2.540714286,1.497857143,0.746428571,0.271428571,0.254285714
1.497857143,0.746428571,0.271428571,0.254285714,0.206428571
0.746428571,0.271428571,0.254285714,0.206428571,0.117142857
0.271428571,0.254285714,0.206428571,0.117142857,0.081428571
0.254285714,0.206428571,0.117142857,0.081428571,0.163571429
0.206428571,0.117142857,0.081428571,0.163571429,0.16
0.117142857,0.081428571,0.163571429,0.16,0.055
0.081428571,0.163571429,0.16,0.055,0.076428571
0.163571429,0.16,0.055,0.076428571,0.057142857
0.16,0.055,0.076428571,0.057142857,0.075
0.055,0.076428571,0.057142857,0.075,0.072142857
0.076428571,0.057142857,0.075,0.072142857,0.076428571
0.057142857,0.075,0.072142857,0.076428571,0.299285714
0.075,0.072142857,0.076428571,0.299285714,0.416428571
0.072142857,0.076428571,0.299285714,0.416428571,0.390714286
0.076428571,0.299285714,0.416428571,0.390714286,0.361428571
0.299285714,0.416428571,0.390714286,0.361428571,0.309285714
0.416428571,0.390714286,0.361428571,0.309285714,0.403571429
0.390714286,0.361428571,0.309285714,0.403571429,0.438571429
0.361428571,0.309285714,0.403571429,0.438571429,0.402857143
0.309285714,0.403571429,0.438571429,0.402857143,0.650714286
0.403571429,0.438571429,0.402857143,0.650714286,0.975714286
0.438571429,0.402857143,0.650714286,0.975714286,2.057857143
0.402857143,0.650714286,0.975714286,2.057857143,2.134285714
0.650714286,0.975714286,2.057857143,2.134285714,4.419285714
0.975714286,2.057857143,2.134285714,4.419285714,1.029285714
2.057857143,2.134285714,4.419285714,1.029285714,0.578571429
2.134285714,4.419285714,1.029285714,0.578571429,0.387857143
4.419285714,1.029285714,0.578571429,0.387857143,0.238571429
1.029285714,0.578571429,0.387857143,0.238571429,0.167142857
0.578571429,0.387857143,0.238571429,0.167142857,0.079285714
0.387857143,0.238571429,0.167142857,0.079285714,0.030714286
0.238571429,0.167142857,0.079285714,0.030714286,0.03
0.167142857,0.079285714,0.030714286,0.03,0.035714286
0.079285714,0.030714286,0.03,0.035714286,0.038571429
0.030714286,0.03,0.035714286,0.038571429,0.05
0.03,0.035714286,0.038571429,0.05,0.194285714
0.035714286,0.038571429,0.05,0.194285714,0.245
0.038571429,0.05,0.194285714,0.245,0.447142857
0.05,0.194285714,0.245,0.447142857,0.425714286
0.194285714,0.245,0.447142857,0.425714286,0.435
0.245,0.447142857,0.425714286,0.435,0.415714286
0.447142857,0.425714286,0.435,0.415714286,0.431428571
0.425714286,0.435,0.415714286,0.431428571,0.42
0.435,0.415714286,0.431428571,0.42,0.476428571
0.415714286,0.431428571,0.42,0.476428571,0.810714286
0.431428571,0.42,0.476428571,0.810714286,1.202857143
0.42,0.476428571,0.810714286,1.202857143,1.016428571
0.476428571,0.810714286,1.202857143,1.016428571,2.689285714
0.810714286,1.202857143,1.016428571,2.689285714,3.549285714
1.202857143,1.016428571,2.689285714,3.549285714,1.487857143
1.016428571,2.689285714,3.549285714,1.487857143,0.284285714
2.689285714,3.549285714,1.487857143,0.284285714,0.137142857
3.549285714,1.487857143,0.284285714,0.137142857,0.054285714
1.487857143,0.284285714,0.137142857,0.054285714,0.046428571
0.284285714,0.137142857,0.054285714,0.046428571,0.022857143
0.137142857,0.054285714,0.046428571,0.022857143,0.02
0.054285714,0.046428571,0.022857143,0.02,0.527857143
0.046428571,0.022857143,0.02,0.527857143,0.02
0.022857143,0.02,0.527857143,0.02,0.026428571
